15:25:16.446793 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [S], seq 2646949624, win 64240, options [mss 1460,sackOK,TS val 2314434052 ecr 0,nop,wscale 7], length 0
15:25:16.447277 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [S.], seq 3415000606, ack 2646949625, win 65535, options [mss 1460,nop,wscale 8,nop,nop,sackOK], length 0
15:25:16.447310 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [.], ack 1, win 502, length 0
15:25:16.448191 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 1:94, ack 1, win 4106, length 93
15:25:16.448287 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [.], ack 94, win 502, length 0
15:25:16.448679 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 1:99, ack 94, win 502, length 98
15:25:16.449291 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 94:105, ack 99, win 4105, length 11
15:25:16.449535 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 99:146, ack 105, win 502, length 47
15:25:16.449947 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 105:116, ack 146, win 4105, length 11
15:25:16.450187 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 146:181, ack 116, win 502, length 35
15:25:16.450554 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 116:127, ack 181, win 4105, length 11
15:25:16.450742 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 181:186, ack 127, win 502, length 5
15:25:16.450941 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 127:138, ack 186, win 4105, length 11
15:25:16.452793 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 186:417, ack 138, win 502, length 231
15:25:16.483738 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 138:151, ack 417, win 4104, length 13
15:25:16.484917 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 417:697, ack 151, win 502, length 280
15:25:16.485279 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 151:164, ack 697, win 4103, length 13
15:25:16.485417 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 697:928, ack 164, win 502, length 231
15:25:16.485712 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 164:177, ack 928, win 4102, length 13
15:25:16.485939 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 928:1208, ack 177, win 502, length 280
15:25:16.486224 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 177:190, ack 1208, win 4101, length 13
15:25:16.486401 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 1208:1439, ack 190, win 502, length 231
15:25:16.486652 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 190:203, ack 1439, win 4100, length 13
15:25:16.486806 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 1439:1719, ack 203, win 502, length 280
15:25:16.487083 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 203:216, ack 1719, win 4106, length 13
15:25:16.487257 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 1719:1950, ack 216, win 502, length 231
15:25:16.487534 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 216:229, ack 1950, win 4105, length 13
15:25:16.487688 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 1950:2241, ack 229, win 502, length 291
15:25:16.487964 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 229:242, ack 2241, win 4104, length 13
15:25:16.488184 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 2241:2541, ack 242, win 502, length 300
15:25:16.488404 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 242:255, ack 2541, win 4103, length 13
15:25:16.488866 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 2541:2867, ack 255, win 502, length 326
15:25:16.489120 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 255:268, ack 2867, win 4101, length 13
15:25:16.489265 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 2867:3144, ack 268, win 502, length 277
15:25:16.489502 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 268:281, ack 3144, win 4100, length 13
15:25:16.489653 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 3144:3440, ack 281, win 502, length 296
15:25:16.489850 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 281:294, ack 3440, win 4106, length 13
15:25:16.490001 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 3440:3720, ack 294, win 502, length 280
15:25:16.490194 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 294:307, ack 3720, win 4105, length 13
15:25:16.490331 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 3720:4016, ack 307, win 502, length 296
15:25:16.490525 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 307:320, ack 4016, win 4104, length 13
15:25:16.490667 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 4016:4295, ack 320, win 502, length 279
15:25:16.490861 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 320:333, ack 4295, win 4102, length 13
15:25:16.491001 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 4295:4592, ack 333, win 502, length 297
15:25:16.491196 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 333:346, ack 4592, win 4101, length 13
15:25:16.491330 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 4592:4891, ack 346, win 502, length 299
15:25:16.491529 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 346:359, ack 4891, win 4100, length 13
15:25:16.491660 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 4891:5189, ack 359, win 502, length 298
15:25:16.491853 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 359:372, ack 5189, win 4106, length 13
15:25:16.491993 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 5189:5469, ack 372, win 502, length 280
15:25:16.492191 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 372:385, ack 5469, win 4105, length 13
15:25:16.492311 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 5469:5749, ack 385, win 502, length 280
15:25:16.505215 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 385:398, ack 5749, win 4104, length 13
15:25:16.505463 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 5749:6046, ack 398, win 502, length 297
15:25:16.505801 IP 192.168.1.100.3306 > 192.168.1.105.34184: Flags [P.], seq 398:411, ack 6046, win 4102, length 13
15:25:16.505956 IP 192.168.1.105.34184 > 192.168.1.100.3306: Flags [P.], seq 6046:6342, ack 411, win 502, length 296
